,Twitter,NPS
272,Ok I am LOVING THIS,2
273,Just nice.,2
274,something,2
275,Just nice.,0
276,Ok I am LOVING THIS,2
277,Just nice.,2
278,I spent a couple of hours doing payment,2
279,Ok I am LOVING THIS,2
280,I’m not really enjoying Black Card,0
281,"Yes, I have to give Call of Duty a break because this shit looks lit!",0
282,Ok I am LOVING THIS,2
283,"I'm honestly not sure how I feel bad about this, I'm going to have to see how things Shape Up",0
284,Just nice.,2
285,This was amazing.,2
286,It is a no coincidence,2
287,I’m really enjoying Black Card,2
288,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
289,Ok I am LOVING THIS,2
290,Such good news,2
291,Just nice.,0
292,"I'm honestly not sure how I feel bad about this, I'm going to have to see how things Shape Up",0
293,It is a no coincidence,2
294,I’m really enjoying Black Card,2
295,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
296,"I'm honestly not sure how I feel bad about this, I'm going to have to see how things Shape Up",0
297,Such good news,2
298,Just nice.,0
299,This was amazing.,1
300,It is a no coincidence,0
301,I hate the mobile app it doesn’t work very well,0
302,Just nice.,2
303,I spent a couple of hours doing payment,1
304,Ok I am LOVING THIS,2
305,Ok I am LOVING THIS,2
306,Ok I am LOVING THIS,1
307,Ok I am LOVING THIS,2
308,"I'm honestly not sure how I feel bad about this, I'm going to have to see how things Shape Up",0
309,Appreciate the conversations  and actions brought together in new things with your products and service.,1
310,Ok I am LOVING THIS,2
311,Ok I am LOVING THIS,2
312,"I'm honestly not sure how I feel bad about this, I'm going to have to see how things Shape Up",0
313,As extremely amazing as this is,0
314,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,1
315,Ok I am LOVING THIS,2
316,Ok I am LOVING THIS,1
317,Just nice.,1
318,I spent a couple of hours doing payment,1
319,I hate the ebanking I prefer mobile app,0
320,Ok I am LOVING THIS,2
321,Ok I am LOVING THIS,1
322,Ok I am LOVING THIS,1
323,Appreciated you attention in the contact center,1
324,Appreciate the conversations  and actions brought together in new things with your products and service.,1
325,Ok I am LOVING THIS,1
326,Ok I am LOVING THIS,1
327,As amazing of this is,2
328,"I'm honestly not sure how I feel bad about this, I'm going to have to see how things Shape Up",0
329,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,0
330,Ok I am LOVING THIS,1
331,Ok I am LOVING THIS,1
332,Just nice.,2
333,I spent a couple of hours doing payment,0
334,Ok I am LOVING THIS,2
335,Ok I am LOVING THIS,2
336,Ok I am LOVING THIS,2
337,Ok I am LOVING THIS,2
338,Appreciated you attention in the contact center,0
339,Appreciate the conversations  and actions brought together in new things with your products and service.,2
340,Ok I am LOVING THIS,2
341,Ok I am LOVING THIS,2
342,As amazing of this is,1
343,As extremely amazing as this is,1
344,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,2
345,Ok I am LOVING THIS,2
346,Ok I am LOVING THIS,1
347,Just nice.,0
348,I spent a couple of hours doing payment,2
349,Ok I am LOVING THIS,1
350,Ok I am LOVING THIS,2
351,Ok I am LOVING THIS,2
352,Ok I am LOVING THIS,2
353,Appreciated you attention in the contact center,1
354,Appreciate the conversations  and actions brought together in new things with your products and service.,2
355,Ok I am LOVING THIS,2
356,Ok I am LOVING THIS,2
357,As amazing of this is,2
358,As extremely amazing as this is,2
359,I hate the mobile app it doesn’t work very well,0
360,Ok I am LOVING THIS,2
361,Ok I am LOVING THIS,2
362,I hate the mobile app it doesn’t work very well,0
363,I hate the mobile app it doesn’t work very well,0
364,Ok I am LOVING THIS,2
365,Ok I am LOVING THIS,1
366,Ok I am LOVING THIS,2
367,Ok I am LOVING THIS,2
368,I hate the mobile app it doesn’t work very well,0
369,Appreciate the conversations  and actions brought together in new things with your products and service.,2
370,I hate the mobile app it doesn’t work very well,0
371,Ok I am LOVING THIS,2
372,As amazing of this is,2
373,As extremely amazing as this is,2
374,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,2
375,I hate the mobile app it doesn’t work very well,0
376,Ok I am LOVING THIS,2
377,I’m really enjoying Black Card,2
378,"Yes, I have to give Call of Duty a break because this shit looks lit!",1
379,Ok I am LOVING THIS,2
380,Such good news,2
381,I hate the mobile app it doesn’t work very well,0
382,This was amazing.,2
383,It is a no coincidence,2
384,I’m really enjoying Black Card,2
385,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
386,I hate the mobile app it doesn’t work very well,0
387,Such good news,2
388,Just nice.,2
389,This was amazing.,2
390,It is a no coincidence,2
391,I’m really enjoying Black Card,2
392,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
393,Ok I am LOVING THIS,1
394,Such good news,2
395,Ok I am LOVING THIS,2
396,I’m really enjoying Black Card,2
397,"Yes, I have to give Call of Duty a break because this shit looks lit!",1
398,Ok I am LOVING THIS,2
399,I hate the mobile app it doesn’t work very well,0
400,Just nice.,2
401,This was amazing.,2
402,It is a no coincidence,2
403,I hate the mobile app it doesn’t work very well,0
404,Ok I am LOVING THIS,2
405,Ok I am LOVING THIS,2
406,Such good news,2
407,Just nice.,0
408,This was amazing.,2
409,I hate the mobile app it doesn’t work very well,0
410,I’m really enjoying Black Card,2
411,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
412,Ok I am LOVING THIS,2
413,Such good news,2
414,Ok I am LOVING THIS,1
415,I’m really enjoying Black Card,2
416,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
417,Ok I am LOVING THIS,1
418,Such good news,1
419,I hate the mobile app it doesn’t work very well,0
420,This was amazing.,2
421,It is a no coincidence,0
422,I’m really enjoying Black Card,2
423,"Yes, I have to give Call of Duty a break because this shit looks lit!",0
424,Ok I am LOVING THIS,2
425,Such good news,2
426,Just nice.,2
427,This was amazing.,2
428,It is a no coincidence,2
429,I’m really enjoying Black Card,2
430,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
431,Ok I am LOVING THIS,2
432,Such good news,2
433,Ok I am LOVING THIS,2
434,I’m really enjoying Black Card,2
435,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
436,I hate the mobile app it doesn’t work very well,0
437,Such good news,2
438,Just nice.,2
439,This was amazing.,2
440,I hate the mobile app it doesn’t work very well,0
441,I’m really enjoying Black Card,2
442,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
443,Ok I am LOVING THIS,2
444,I hate the mobile app it doesn’t work very well,0
445,Just nice.,2
446,This was amazing.,2
447,It is a no coincidence,2
448,I’m really enjoying Black Card,2
449,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
450,Ok I am LOVING THIS,2
451,Such good news,2
452,Ok I am LOVING THIS,2
453,Ok I am LOVING THIS,2
454,I hate the mobile app it doesn’t work very well,0
455,Appreciated you attention in the contact center,2
456,Appreciate the conversations  and actions brought together in new things with your products and service.,2
457,Ok I am LOVING THIS,2
458,Ok I am LOVING THIS,2
459,As amazing of this is,2
460,As extremely amazing as this is,2
461,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,1
462,Ok I am LOVING THIS,2
463,Ok I am LOVING THIS,2
464,"I'm honestly not sure how I feel about this, I'm going to have to see how things Shape Up",2
465,Amazing things are possible when we work together towards a better future!. .,1
466,I hate the mobile app it doesn’t work very well,0
467,Just nice.,2
468,Wow,2
469,Just nice.,2
470,Omg so much fun with everyone,2
471,Very strange,2
472,I’m really enjoying Black Card,2
473,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
474,I hate the mobile app it doesn’t work very well,0
475,Such good news,1
476,Just nice.,1
477,This was amazing.,2
478,It is a no coincidence,1
479,Ok I am LOVING THIS,1
480,Just nice.,0
481,something,1
482,I hate the mobile app it doesn’t work very well,0
483,Ok I am LOVING THIS,2
484,I hate the mobile app it doesn’t work very well,0
485,I hate the mobile app it doesn’t work very well,0
486,Ok I am LOVING THIS,2
487,I hate that service in this bank,0
488,I hate the mobile app it doesn’t work very well,0
489,"I'm honestly not sure how I feel bad about this, I'm going to have to see how things Shape Up",0
490,Appreciated you attention in the contact center,1
491,Appreciate the conversations  and actions brought together in new things with your products and service.,0
492,I hate the mobile app it doesn’t work very well,0
493,I hate the mobile app it doesn’t work very well,0
494,I hate the mobile app it doesn’t work very well,0
495,I hate the mobile app it doesn’t work very well,0
496,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,2
497,Ok I am LOVING THIS,2
498,Ok I am LOVING THIS,2
499,"I'm honestly not sure how I feel about this, I'm going to have to see how things Shape Up",1
500,I hate the mobile app it doesn’t work very well,0
501,Just nice.,2
502,I hate the mobile app it doesn’t work very well,0
503,I hate the mobile app it doesn’t work very well,0
504,Just nice.,2
505,Omg so much fun with everyone,1
506,Very strange,1
507,I’m really enjoying Black Card,2
508,"Yes, I have to give Call of Duty a break because this shit looks lit!",0
509,I hate the mobile app it doesn’t work very well,0
510,Such good news,2
511,Just nice.,2
512,This was amazing.,2
513,It is a no coincidence,2
514,Ok I am LOVING THIS,1
515,I hate the mobile app it doesn’t work very well,0
516,something,2
517,Just nice.,2
518,Ok I am LOVING THIS,1
519,Just nice.,2
520,I spent a couple of hours doing payment,2
521,I hate the mobile app it doesn’t work very well,0
522,Ok I am LOVING THIS,2
523,Ok I am LOVING THIS,2
524,Ok I am LOVING THIS,2
525,Appreciated you attention in the contact center,2
526,Appreciate the conversations  and actions brought together in new things with your products and service.,2
527,Ok I am LOVING THIS,2
528,Ok I am LOVING THIS,1
529,As amazing of this is,2
530,As extremely amazing as this is,2
531,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,2
532,I hate the mobile app it doesn’t work very well,0
533,Ok I am LOVING THIS,2
534,"I'm honestly not sure how I feel about this, I'm going to have to see how things Shape Up",2
535,Amazing things are possible when we work together towards a better future!. .,2
536,Just nice.,2
537,Just nice.,2
538,Wow,2
539,Just nice.,2
540,Omg so much fun with everyone,2
541,Very strange,2
542,I’m really enjoying Black Card,2
543,"Yes, I have to give Call of Duty a break because this shit looks lit!",0
544,Ok I am LOVING THIS,2
545,Such good news,2
546,Just nice.,2
547,This was amazing.,2
548,It is a no coincidence,0
549,I hate the mobile app it doesn’t work very well,0
550,Just nice.,2
551,something,2
552,Just nice.,2
553,Ok I am LOVING THIS,2
554,I hate the mobile app it doesn’t work very well,0
555,I spent a couple of hours doing payment,2
556,Ok I am LOVING THIS,2
557,I hate that service in this bank,0
558,I hate the mobile app it doesn’t work very well,0
559,Ok I am LOVING THIS,0
560,Appreciated you attention in the contact center,2
561,Appreciate the conversations  and actions brought together in new things with your products and service.,2
562,I hate that service in this bank,0
563,Ok I am LOVING THIS,2
564,I hate that service in this bank,0
565,As extremely amazing as this is,2
566,I hate that service in this bank,0
567,Ok I am LOVING THIS,2
568,Ok I am LOVING THIS,2
569,"I'm honestly not sure how I feel about this, I'm going to have to see how things Shape Up",2
570,Amazing things are possible when we work together towards a better future!. .,2
571,Just nice.,2
572,Just nice.,2
573,Wow,2
574,Just nice.,2
575,Omg so much fun with everyone,2
576,Very strange,2
577,I’m really enjoying Black Card,2
578,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
579,Ok I am LOVING THIS,2
580,Such good news,2
581,Just nice.,2
582,This was amazing.,2
583,It is a no coincidence,2
584,Ok I am LOVING THIS,1
585,Just nice.,1
586,something,2
587,Just nice.,1
588,Ok I am LOVING THIS,1
589,Just nice.,1
590,I spent a couple of hours doing payment,0
591,Ok I am LOVING THIS,2
592,Ok I am LOVING THIS,1
593,Ok I am LOVING THIS,2
594,Ok I am LOVING THIS,2
595,Appreciated you attention in the contact center,1
596,Appreciate the conversations  and actions brought together in new things with your products and service.,1
597,Ok I am LOVING THIS,2
598,Ok I am LOVING THIS,1
599,As amazing of this is,2
600,As extremely amazing as this is,2
601,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,1
602,Ok I am LOVING THIS,2
603,Ok I am LOVING THIS,2
604,"I'm honestly not sure how I feel about this, I'm going to have to see how things Shape Up",1
605,Amazing things are possible when we work together towards a better future!. .,0
606,Just nice.,2
607,Just nice.,2
608,I hate that service in this bank,0
609,Just nice.,2
610,Omg so much fun with everyone,0
611,Very strange,2
612,I’m not really enjoying Black Card,0
613,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
614,Ok I am LOVING THIS,2
615,Such good news,2
616,Just nice.,2
617,This was amazing.,2
618,It is a no coincidence,2
619,Ok I am LOVING THIS,2
620,Just nice.,1
621,something,0
622,Just nice.,2
623,Ok I am LOVING THIS,2
624,Just nice.,2
625,I spent a couple of hours doing payment,2
626,Ok I am LOVING THIS,2
627,Ok I am LOVING THIS,2
628,Ok I am LOVING THIS,1
629,I hate that service in this bank,0
630,Appreciated you attention in the contact center,2
631,Appreciate the conversations  and actions brought together in new things with your products and service.,2
632,Ok I am LOVING THIS,2
633,Ok I am LOVING THIS,2
634,As amazing of this is,2
635,As extremely amazing as this is,2
636,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,2
637,I hate that service in this bank,0
638,Ok I am LOVING THIS,2
639,"I'm honestly not sure how I feel about this, I'm going to have to see how things Shape Up",0
640,Amazing things are possible when we work together towards a better future!. .,2
641,Just nice.,2
642,Just nice.,2
643,Wow,2
644,Just nice.,2
645,Omg so much fun with everyone,2
646,Very strange,2
647,I’m really enjoying Black Card,2
648,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
649,I hate that service in this bank,0
650,Such good news,2
651,Just nice.,2
652,This was amazing.,2
653,It is a no coincidence,2
654,Ok I am LOVING THIS,2
655,I hate that service in this bank,0
656,something,2
657,Just nice.,1
658,Ok I am LOVING THIS,2
659,I hate that service in this bank,0
660,I spent a couple of hours doing payment,1
661,Ok I am LOVING THIS,2
662,Ok I am LOVING THIS,2
663,Ok I am LOVING THIS,2
664,Ok I am LOVING THIS,2
665,Appreciated you attention in the contact center,0
666,Appreciate the conversations  and actions brought together in new things with your products and service.,2
667,Ok I am LOVING THIS,2
668,Ok I am LOVING THIS,1
669,I hate that service in this bank,0
670,As extremely amazing as this is,0
671,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,1
672,Ok I am LOVING THIS,2
673,Ok I am LOVING THIS,2
674,"I'm honestly not sure how I feel about this, I'm going to have to see how things Shape Up",2
675,Amazing things are possible when we work together towards a better future!. .,2
676,Just nice.,2
677,Just nice.,2
678,I hate that service in this bank,0
679,Just nice.,2
680,Omg so much fun with everyone,2
681,Very strange,2
682,I’m not really enjoying Black Card,0
683,I hate that service in this bank,0
684,Ok I am LOVING THIS,2
685,Such good news,2
686,Just nice.,2
687,I hate that service in this bank,0
688,It is a no coincidence,2
689,Ok I am LOVING THIS,2
690,Just nice.,2
691,something,2
692,Just nice.,2
693,Ok I am LOVING THIS,1
694,I hate that service in this bank,0
695,I spent a couple of hours doing payment,2
696,Ok I am LOVING THIS,2
697,I hate that service in this bank,0
698,Ok I am LOVING THIS,2
699,Ok I am LOVING THIS,2
700,Appreciated you attention in the contact center,2
701,Appreciate the conversations  and actions brought together in new things with your products and service.,2
702,Ok I am LOVING THIS,2
703,Ok I am LOVING THIS,2
704,As amazing of this is,2
705,As extremely amazing as this is,2
706,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,1
707,Ok I am LOVING THIS,2
708,I hate that service in this bank,0
709,"I'm honestly not sure how I feel about this, I'm going to have to see how things Shape Up",2
710,Amazing things are possible when we work together towards a better future!. .,2
711,Just nice.,2
712,Just nice.,2
713,Wow,2
714,Just nice.,2
715,Omg so much fun with everyone,2
716,Very strange,2
717,I hate that service in this bank,0
718,"Yes, I have to give Call of Duty a break because this shit looks lit!",1
719,Ok I am LOVING THIS,2
720,Such good news,2
721,I hate that service in this bank,0
722,This was amazing.,2
723,It is a no coincidence,1
724,I hate that service in this bank,0
725,Just nice.,1
726,I hate that service in this bank,0
727,Just nice.,2
728,Ok I am LOVING THIS,2
729,Just nice.,2
730,I spent a couple of hours doing payment,2
731,Ok I am LOVING THIS,1
732,I’m really enjoying Black Card,1
733,"Yes, I have to give Call of Duty a break because this shit looks lit!",0
734,Ok I am LOVING THIS,1
735,Such good news,2
736,Just nice.,2
737,This was amazing.,2
738,It is a no coincidence,2
739,I’m really enjoying Black Card,2
740,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
741,Ok I am LOVING THIS,2
742,Such good news,2
743,Just nice.,0
744,This was amazing.,2
745,It is a no coincidence,1
746,I’m really enjoying Black Card,0
747,"Yes, I have to give Call of Duty a break because this shit looks lit!",2
748,Ok I am LOVING THIS,2
749,Such good news,2
750,Just nice.,2
751,This was amazing.,2
752,It is a no coincidence,0
753,Ok I am LOVING THIS,2
754,Just nice.,2
755,I spent a couple of hours doing payment,2
756,I hate the ebanking I prefer mobile app,0
757,Ok I am LOVING THIS,2
758,I hate the mobile app it doesn’t work very well,0
759,Ok I am LOVING THIS,0
760,Appreciated you attention in the contact center,2
761,Appreciate the conversations  and actions brought together in new things with your products and service.,2
762,Ok I am LOVING THIS,2
763,Ok I am LOVING THIS,2
764,As amazing of this is,2
765,As extremely amazing as this is,2
766,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,2
767,Ok I am LOVING THIS,0
768,Ok I am LOVING THIS,2
769,Just nice.,2
770,I spent a couple of hours doing payment,2
771,Ok I am LOVING THIS,2
772,Ok I am LOVING THIS,2
773,Ok I am LOVING THIS,2
774,Ok I am LOVING THIS,2
775,Appreciated you attention in the contact center,2
776,Appreciate the conversations  and actions brought together in new things with your products and service.,2
777,Ok I am LOVING THIS,2
778,Ok I am LOVING THIS,2
779,As amazing of this is,2
780,As extremely amazing as this is,2
781,I'm so exhausted from work this week that I probably won't be able to flow with this bank  and I'm SO SORRY.,2
782,I hate that service in this bank,0
783,Ok I am LOVING THIS,2
784,Just nice.,0
785,I spent a couple of hours doing payment,2
